nome,sigla,sigla_superior,unidade_organizacional,total_servidores
COORDENAÇÃO DE FORMAÇÃO GERAL CAMPUS AVANÇADO CABEDELO CENTRO - REITORIA,COFOG-CC-RE,COEN-CC-RE,REITORIA,1
COORDENAÇÃO DE CONTRATOS ADMINISTRATIVOS - CAMPUS PATOS,CCAD-PT,DAPF-PT,CAMPUS PATOS,1
CURSO SUPERIOR DE BACHARELADO EM ENGENHARIA DE CONTROLE E AUTOMAÇÃO - CAMPUS CAJAZEIRAS,CSBECA-CZ,UNIND-CZ,CAMPUS CAJAZEIRAS,1
CURSO DE BACHARELADO EM ENGENHARIA CIVIL  - CAMPUS JOÃO PESSOA,CBEC-JP,UA1-JP,CAMPUS JOÃO PESSOA,2
COORDENAÇÃO DO CURSO DE ESPECIALIZAÇÃO EM ENSINO DE MATEMÁTICA - CAMPUS CAMPINA GRANDE,CCEM-CG,DDE-CG,CAMPUS CAMPINA GRANDE,1
NÚCLEO DE ESTÁGIO E RELAÇÕES EMPRESARIAIS - CAMPUS ITABAIANA,NEST-IB,DDE-IB,CAMPUS ITABAIANA,1
COORD ANALISE CONFORM DOCUMENTAL-RE,COADOC-RE,DFIN-RE,REITORIA,1
COORD. EXECUCAO FOLHA PAGAMENTO-RE,COEXFOP-RE,DFIN-RE,REITORIA,1
Coordenação de Execução Financeira,CEF-RE,DFIN-RE,REITORIA,1
PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE LÍNGUA PORTUGUESA 2a LINGUA PARA SURDOS - CAMPUS JOÃO PESSOA,PPGELPS-JP,COPG-JP,CAMPUS JOÃO PESSOA,1
PÓS-GRADUAÇÃO DE LÍNGUAS ESTRANGEIRAS MODERNAS - CAMPUS CABEDELO,PGLEM-CB,DDE-CB,CAMPUS CABEDELO,1
NÚCLEO DE FORMAÇÃO GERAL - CAMPUS SANTA RITA,NFG-SR,DDE-SR,CAMPUS SANTA RITA,12
COORDENAÇÃO DO CURSO SUPERIOR DE LICENCIATURA EM CIÊNCIAS BIOLÓGICAS - CAMPUS PRINCESA ISABEL,CCSLCB-PI,DDE-PI,CAMPUS PRINCESA ISABEL,8
COORDENAÇÃO DE COMPRAS E LICITAÇÕES - CAMPUS CABEDELO,CCL-CB,DAPF-CB,CAMPUS CABEDELO,2
COORDENAÇÃO DE CONTRATOS - CAMPUS CABEDELO,CC-CB,DAPF-CB,CAMPUS CABEDELO,1
"DEPARTAMENTO DE LOGISTACA, OBRAS E MANUTENÇÃO-CAMPUS SOUSA",DLOM-SS,DAP-SS,CAMPUS SOUSA,4
COORDENAÇÃO DE SEGURANÇA E TRANSPORTE-CAMPUS SOUSA,CST-SS,DLOM-SS,CAMPUS SOUSA,3
DEPARTAMENTO DE SUPRIMENTOS-CAMPUS SOUSA,DS-SS,DAP-SS,CAMPUS SOUSA,5
COMUNICAÇÃO SOCIAL-CAMPUS SOUSA,COMS-SS,GAB-SS,CAMPUS SOUSA,3
"Comitê de Governança, Integridade, Riscos e Controle - REITORIA",CGIRC-RE,COMISSOES-RE,REITORIA,1
COORDENAÇÃO DE ALIMENTAÇÃO E NUTRIÇÃO-CAMPUS SOUSA,CAN-SS,DAE-SS,CAMPUS SOUSA,2
COORDENAÇÃO BIBLIOTECA-CAMPUS SOUSA,COOBI-SS,DAE-SS,CAMPUS SOUSA,1
COORDENAÇÃO DE PAGAMENTO E ADMINISTRAÇÃO DE PESSOAS-CAMPUS SOUSA,CPAP-SS,DGDP-SS,CAMPUS SOUSA,1
COORDENAÇÃO DE CONTRATOS E CONVENIOS-CAMPUS SOUSA,CCCONV-SS,DS-SS,CAMPUS SOUSA,1
COORDENAÇÃO DE PÓS GRADUAÇÃO-CAMPUS SOUSA,CPG-SS,DES-SS,CAMPUS SOUSA,1
COORDENAÇÃO DE EXTENSÃO-CAMPUS SOUSA,COOEXT-SS,DPPE-SS,CAMPUS SOUSA,1
COORDENAÇÃO DE PESQUISA-CAMPUS SOUSA,COOPESQ-SS,DPPE-SS,CAMPUS SOUSA,1
COORDENAÇÃO DE PRODUÇÃO-CAMPUS SOUSA,COOPROD-SS,DPPE-SS,CAMPUS SOUSA,1
SECRETARIA DA DIREÇÃO-CAMPUS SOUSA,SD-SS,GAB-SS,CAMPUS SOUSA,1
CENTRO VOCACIONAL TECNOLOGICO-CAMPUS SOUSA,CVT-SS,DG-SS,CAMPUS SOUSA,1
COORDENAÇÃO DA AGROINDUSTRIA,CAGRO-SS,DPPE-SS,CAMPUS SOUSA,7
COORDENAÇÃO DO CURSO SUPERIOR DE BACHARELADO EM ENGENHARIA CIVIL - CAMPUS PATOS,CBEC-PT,DDE-PT,CAMPUS PATOS,5
NÚCLEO DE PESQUISA EM ENSINO DE FÍSICA - CAMPUS JOÃO PESSOA,NPEF-JP,CACN-JP,CAMPUS JOÃO PESSOA,1
NÚCLEO DE ATENDIMENTO AS PESSOAS COM NECESSIDADES ESPECÍFICAS - CAMPUS GUARABIRA,NAPNE-GB,DDE-GB,CAMPUS GUARABIRA,1
COORDENAÇÃO DE COMPRAS E LICITAÇÕES - CAMPUS JOÃO PESSOA,CCL-JP,DLOG-JP,CAMPUS JOÃO PESSOA,3
COORDENAÇÃO DE MATERIAIS E RECURSOS PATRIMONIAIS - CAMPUS JOÃO PESSOA,CMRP-JP,DOF-JP ,CAMPUS JOÃO PESSOA,2
COORDENAÇÃO DE GESTÃO DOCUMENTAL - CAMPUS JOÃO PESSOA,CGD-JP,DAA-JP ,CAMPUS JOÃO PESSOA,1
COORDENAÇÃO DE EXECUÇÃO ORÇAMENTARIA - CAMPUS JOÃO PESSOA,CEO-JP,DOF-JP ,CAMPUS JOÃO PESSOA,2
COORDENACAO DE CONTROLE ACADEMICO E APOIO AO ENSINO - CAMPUS ITABAIANA,CCAAE-IB,DDE-IB,CAMPUS ITABAIANA,1
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM SISTEMAS PARA INTERNET - CAMPUS GUARABIRA,CCSTSI-GB,DDE-GB,CAMPUS GUARABIRA,1
COORDENAÇÃO DE ALMOXARIFADO E PATRIMÔNIO - CAMPUS CABEDELO,CAP-CB,DAPF-CB,CAMPUS CABEDELO,1
COORDENAÇÃO DE EXECUÇÃO ORÇAMENTÁRIA E FINANCEIRA - CAMPUS ITABAIANA,CEOF-IB,DAPF-IB,CAMPUS ITABAIANA,2
NÚCLEO DE ASSISTÊNCIA ESTUDANTIL - CAMPUS ITABAIANA,NAE-IB,DDE-IB,CAMPUS ITABAIANA,1
NÚCLEO PEDAGÓGICO - CAMPUS ITABAIANA,NPED-IB,DDE-IB,CAMPUS ITABAIANA,2
COORDENAÇÃO DO CURSO TÉCNICO EM ADMINISTRAÇÃO - CAMPUS AREIA,CCTA-AR,DCAAREIA-RE,REITORIA,1
COORDENAÇÃO DE CONTROLE ACADÊMICO - CAMPUS AREIA,CCA-AR,DCAAREIA-RE,REITORIA,1
COORDENAÇÃO DE ALMOXARIFADO - CAMPUS CATOLÉ DO ROCHA,C_ALMOX-CR,DAPF-CR,CAMPUS CATOLÉ DO ROCHA,1
COORDENAÇÃO DE PESQUISA E INOVAÇÃO - CAMPUS GUARABIRA,CPINOV-GB,DG-GB,CAMPUS GUARABIRA,1
COORDENAÇÃO DO CURSO DE ESPECIALIZAÇÃO DE MEDICINA VETERINÁRIA - CAMPUS SOUSA,CCEMV-SS,CPG-SS,CAMPUS SOUSA,1
Gabinete Médico - Campus Esperança,GABMED-ES,DDE-ES,CAMPUS ESPERANÇA,2
Coordenação Técnico em Sistemas de Energia Renovável - ES,CTSER-ES,DDE-ES,CAMPUS ESPERANÇA,4
CONFORMIDADE DE GESTÃO - CAMPUS CAMPINA GRANDE,CONF-GEST-CG,DAPF-CG,CAMPUS CAMPINA GRANDE,1
COORDENAÇÃO DE ESTÁGIOS E RELAÇÕES INSTITUCIONAIS - CAMPUS CATOLÉ DO ROCHA,CERI-CR,DDE-CR,CAMPUS CATOLÉ DO ROCHA,1
COORDENAÇÃO DO POLO DE EDUCAÇÃO À DISTÂNCIA - CAMPUS JOÃO PESSOA,CEAD-JP,DDE-JP,CAMPUS JOÃO PESSOA,1
SETOR MÉDICO - CAMPUS SOUSA,MED-SS,DAE-SS,CAMPUS SOUSA,1
Gabinete Médico - Campus Princesa Isabel,GABMED-PI,DDE-PI,CAMPUS PRINCESA ISABEL,1
COORDENAÇÃO DE PESQUISA - CAMPUS AREIA,COPESQ-AR,DCAAREIA-RE,REITORIA,1
CAMPUS SANTA LUZIA,CAMPUS-SL,REITORIA,CAMPUS SANTA LUZIA,27
DIREÇÃO GERAL DO CAMPUS SANTA LUZIA,DG-SL,CAMPUS-SL,CAMPUS SANTA LUZIA,27
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS - CAMPUS SANTA LUZIA",DAPF-SL,DG-SL,CAMPUS SANTA LUZIA,5
DIRETORIA DO DESENVOLVIMENTO DO ENSINO - CAMPUS SANTA LUZIA,DDE-SL,DG-SL,CAMPUS SANTA LUZIA,20
COORDENACAO DE ESTAGIO - CAMPUS SANTA LUZIA,CE-SL,DDE-SL,CAMPUS SANTA LUZIA,1
"COORDENACAO DE PESQUISA, EXTENSAO E INOVACAO - CAMPUS SANTA LUZIA",COPEX-SL,DDE-SL,CAMPUS SANTA LUZIA,1
COORD. CURSO TECNICO SUBSEQUENTE DE ENERG. RENOVAVEL - CAMPUS SANTA LUZIA,CCTSER-SL,DDE-SL,CAMPUS SANTA LUZIA,2
COORDENACAO DO CURSO DE INFORMATICA - CAMPUS SANTA LUZIA,COINF-SL,DDE-SL,CAMPUS SANTA LUZIA,10
COORDENACAO PEDAGOGICA E DE APOIO AO ESTUDANTE - CAMPUS SANTA LUZIA,COPAE-SL,DDE-SL,CAMPUS SANTA LUZIA,3
COMISSAO ELEITORAL DO CONSELHO DIRETOR - CAMPUS MONTEIRO,CECD-MT,CAMPUS-MT,CAMPUS MONTEIRO,1
COORDENACAO DE FINANCAS-SL,CF-SL,DAPF-SL,CAMPUS SANTA LUZIA,1
NUCLEO DE DESAFIOS ACADEMICOS-JP,NDA-JP,DIPPED-JP,CAMPUS JOÃO PESSOA,1
