nome,sigla,sigla_superior,unidade_organizacional,total_servidores
COORDENAÇÃO DE PÓS-GRADUAÇÃO E PESQUISA - CAMPUS JOÃO PESSOA,CPGPESQ-JP,DIPPED-JP,CAMPUS JOÃO PESSOA,1
COORD. SISTEMAS DE INFORMAÇÃO-COMPEC-RE,COSINF-RE,COMPEC-RE,REITORIA,1
Assessoria de Comunicação,ASCOM-CG,DG-CG,CAMPUS CAMPINA GRANDE,2
DEPARTAMENTO DE EDUCACAO SUPERIOR-SS,DES-SS,DDE-SS,CAMPUS SOUSA,37
COORDENAÇÃO DO HOSPITAL VETERINARIO-SS,CHV-SS,DES-SS,CAMPUS SOUSA,9
DIRETORIA DE EDUCAÇÃO FÍSICA E ESPORTES - REITORIA,DEFE-RE,PRAE-RE,REITORIA,1
COORDENAÇÃO DE PÓS-GRADUAÇÃO - CAMPUS JOÃO PESSOA,COPG-JP,DIPPED-JP,CAMPUS JOÃO PESSOA,2
DEPARTAMENTO DE GESTÃO E DESENVOLVIMENTO DE PESSOAS - CAMPUS SOUSA,DGDP-SS,DAP-SS,CAMPUS SOUSA,4
CAMPUS SANTA RITA,CAMPUS-SR,REITORIA,CAMPUS SANTA RITA,48
DIREÇÃO GERAL - CAMPUS SANTA RITA,DG-SR,CAMPUS-SR,CAMPUS SANTA RITA,48
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS SANTA RITA,DDE-SR,DG-SR,CAMPUS SANTA RITA,37
"DIRETORIA DE ADMINISTRÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS SANTA RITA",DAPF-SR,DG-SR,CAMPUS SANTA RITA,7
COORDENAÇÃO DE PATRIMÔNIO E ARQUIVO - CAMPUS SANTA RITA,CPARQ-SR,DAPF-SR,CAMPUS SANTA RITA,1
COORDENAÇÃO CURSO INTEGRADO DE MEIO AMBIENTE - CAMPUS SANTA RITA,CINTMAM-SR,DDE-SR,CAMPUS SANTA RITA,2
COORDENAÇÃO DE CONTROLE ACADÊMICO - CAMPUS SANTA RITA,CCA-SR,DDE-SR,CAMPUS SANTA RITA,2
COORDENAÇÃO DE GESTÃO DE PESSOAS - CAMPUS SANTA RITA,CGP-SR,DAPF-SR,CAMPUS SANTA RITA,1
COORDENAÇÃO DE COMUNICACAO E TEC INFORMACAO - CAMPUS SANTA RITA,CCTIN-SR,DAPF-SR,CAMPUS SANTA RITA,2
CAMPUS ESPERANÇA,CAMPUS-ES,REITORIA,CAMPUS ESPERANÇA,47
DIREÇÃO GERAL - CAMPUS ESPERANÇA,DG-ES,CAMPUS-ES,CAMPUS ESPERANÇA,47
DIRETORIA DE DESENVOLVIMENTO E ENSINO - CAMPUS ESPERANÇA,DDE-ES,DG-ES,CAMPUS ESPERANÇA,32
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS - CAMPUS ESPERANÇA",DAPF-ES,DG-ES,CAMPUS ESPERANÇA,11
COORDENAÇÃO TÉCNICO INFORMÁTICA - CAMPUS ESPERANÇA,CTIN-ES,DDE-ES,CAMPUS ESPERANÇA,7
COORDENAÇÃO DE PATRIMÔNIO E ALMOXARIFADO - CAMPUS ESPERANÇA,CPAL-ES,DAPF-ES,CAMPUS ESPERANÇA,1
COORDENAÇÃO FORMAÇÃO GERAL - CAMPUS ESPERANÇA,CFOG-ES,DDE-ES,CAMPUS ESPERANÇA,11
COORDENADOR FINANCAS - CAMPUS ESPERANÇA,COF-ES,DAPF-ES,CAMPUS ESPERANÇA,1
COORDENAÇÃO DE GESTÃO DE PESSOAS - CAMPUS ESPERANÇA,CGP-ES,DG-ES,CAMPUS ESPERANÇA,1
COORDENAÇÃO PESQUISA EXTENSÃO - CAMPUS ESPERANÇA,CPEX-ES,DG-ES,CAMPUS ESPERANÇA,2
COORDENAÇÃO DO CURSO TÉCNICO EM INFORMÁTICA INTEGRADO AO MÉDIO - CAMPUS PATOS,CCIIEM-PT,DDE-PT,CAMPUS PATOS,2
DIRETORIA GERAL - CAMPUS ITABAIANA,DG-IB,CAMPUS-IB,CAMPUS ITABAIANA,49
DIRETORIA DE DESENVOLVIMENTO E ENSINO - CAMPUS ITABAIANA,DDE-IB,DG-IB,CAMPUS ITABAIANA,35
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS - CAMPUS ITABAIANA",DAPF-IB,DG-IB,CAMPUS ITABAIANA,8
CAMPUS ITABAIANA,CAMPUS-IB,REITORIA,CAMPUS ITABAIANA,49
"COORDENACAO DE ADMINISTRACAO, LOGISTICA E MANUTENCAO - CAMPUS ITABAIANA",CALM-IB,DAPF-IB,CAMPUS ITABAIANA,2
COORDENAÇÃO DO CURSO DE AUTOMAÇÃO INDUSTRIAL - CAMPUS ITABAIANA,CAI-IB,DDE-IB,CAMPUS ITABAIANA,10
DIRETORIA DE PLANEJAMENTO E GESTAO DAS POLITICAS ESTUDANTIS - REITORIA,DPGEST-RE,PRAE-RE,REITORIA,2
COORDENAÇÃO DO CURSO DE ELETROMECÂNICA - CAMPUS ITABAIANA,COELM-IB,DDE-IB,CAMPUS ITABAIANA,14
COORDENACAO PEDAGOGICA E ASSISTENCIA ESTUDANTIL - CAMPUS ITABAIANA,CPAE-IB,DDE-IB,CAMPUS ITABAIANA,2
CAMPUS CATOLÉ DO ROCHA,CAMPUS-CR,REITORIA,CAMPUS CATOLÉ DO ROCHA,45
DIRETORIA GERAL - CAMPUS CATOLÉ DO ROCHA,DG-CR,CAMPUS-CR,CAMPUS CATOLÉ DO ROCHA,45
DIRETORIA DE DESENVOLVIMENTO E ENSINO - CAMPUS CATOLÉ DO ROCHA,DDE-CR,DG-CR,CAMPUS CATOLÉ DO ROCHA,34
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS - CAMPUS CATOLÉ DO ROCHA",DAPF-CR,DG-CR,CAMPUS CATOLÉ DO ROCHA,10
COORDENAÇÃO DE COMPRAS E LICITAÇÃO - CATOLÉ DO ROCHA,CCL-CR,DAPF-CR,CAMPUS CATOLÉ DO ROCHA,1
